date,股票代码,open,close,high,low,volume
,,AMZN,AMZN,AMZN,AMZN,AMZN
2025-01-31,AMZN,236.5,237.67999267578125,240.2899932861328,236.41000366210938,36110200
2025-02-03,AMZN,234.05999755859375,237.4199981689453,239.25,232.89999389648438,37285900
2025-02-04,AMZN,239.00999450683594,242.05999755859375,242.52000427246094,238.02999877929688,29713800
2025-02-05,AMZN,237.02000427246094,236.1699981689453,238.32000732421875,235.1999969482422,38727300
2025-02-06,AMZN,238.00999450683594,238.8300018310547,239.66000366210938,236.00999450683594,60897100
2025-02-07,AMZN,232.5,229.14999389648438,234.80999755859375,228.05999755859375,77539300
2025-02-10,AMZN,230.5500030517578,233.13999938964844,233.9199981689453,229.1999969482422,35419900
2025-02-11,AMZN,231.9199981689453,232.75999450683594,233.44000244140625,230.1300048828125,23713700
2025-02-12,AMZN,230.4600067138672,228.92999267578125,231.17999267578125,228.16000366210938,32285200
2025-02-13,AMZN,228.85000610351562,230.3699951171875,230.4199981689453,227.52000427246094,31346500
2025-02-14,AMZN,229.1999969482422,228.67999267578125,229.88999938964844,227.22999572753906,27031100
2025-02-18,AMZN,228.82000732421875,226.64999389648438,229.3000030517578,223.72000122070312,42975100
2025-02-19,AMZN,225.52000427246094,226.6300048828125,226.8300018310547,223.7100067138672,28566700
2025-02-20,AMZN,224.77999877929688,222.8800048828125,225.1300048828125,221.80999755859375,30001700
2025-02-21,AMZN,223.27999877929688,216.5800018310547,223.30999755859375,214.74000549316406,55323900
2025-02-24,AMZN,217.4499969482422,212.7100067138672,217.72000122070312,212.4199981689453,42387600
2025-02-25,AMZN,211.6300048828125,212.8000030517578,213.33999633789062,204.16000366210938,58958000
2025-02-26,AMZN,214.94000244140625,214.35000610351562,218.16000366210938,213.08999633789062,39120600
2025-02-27,AMZN,218.35000610351562,208.74000549316406,219.97000122070312,208.3699951171875,40548600
2025-02-28,AMZN,208.64999389648438,212.27999877929688,212.6199951171875,206.99000549316406,51771700
2025-03-03,AMZN,213.35000610351562,205.02000427246094,214.00999450683594,202.5500030517578,42948400
2025-03-04,AMZN,200.11000061035156,203.8000030517578,206.8000030517578,197.42999267578125,60853100
2025-03-05,AMZN,204.8000030517578,208.36000061035156,209.97999572753906,203.25999450683594,38610100
2025-03-06,AMZN,204.39999389648438,200.6999969482422,205.77000427246094,198.3000030517578,49863800
2025-03-07,AMZN,199.49000549316406,199.25,202.27000427246094,192.52999877929688,59802800
2025-03-10,AMZN,195.60000610351562,194.5399932861328,196.72999572753906,190.85000610351562,62350900
2025-03-11,AMZN,193.89999389648438,196.58999633789062,200.17999267578125,193.39999389648438,54002900
2025-03-12,AMZN,200.72000122070312,198.88999938964844,201.52000427246094,195.2899932861328,43679300
2025-03-13,AMZN,198.1699981689453,193.88999938964844,198.8800048828125,191.82000732421875,41270800
2025-03-14,AMZN,197.41000366210938,197.9499969482422,198.64999389648438,195.32000732421875,38096700
2025-03-17,AMZN,198.77000427246094,195.74000549316406,199.0,194.32000732421875,47341800
2025-03-18,AMZN,192.52000427246094,192.82000732421875,194.0,189.3800048828125,40414900
2025-03-19,AMZN,193.3800048828125,195.5399932861328,195.97000122070312,191.9600067138672,39442900
2025-03-20,AMZN,193.07000732421875,194.9499969482422,199.32000732421875,192.3000030517578,38921100
2025-03-21,AMZN,192.89999389648438,196.2100067138672,196.99000549316406,192.52000427246094,60056900
2025-03-24,AMZN,200.0,203.25999450683594,203.63999938964844,199.9499969482422,41625400
2025-03-25,AMZN,203.60000610351562,205.7100067138672,206.2100067138672,203.22000122070312,31171200
2025-03-26,AMZN,205.83999633789062,201.1300048828125,206.00999450683594,199.92999267578125,32855300
2025-03-27,AMZN,200.88999938964844,201.36000061035156,203.7899932861328,199.27999877929688,27317700
2025-03-28,AMZN,198.4199981689453,192.72000122070312,199.25999450683594,191.8800048828125,52548200
2025-03-31,AMZN,188.19000244140625,190.25999450683594,191.3300018310547,184.39999389648438,63547600
2025-04-01,AMZN,187.86000061035156,192.1699981689453,193.92999267578125,187.1999969482422,41267300
2025-04-02,AMZN,187.66000366210938,196.00999450683594,198.33999633789062,187.66000366210938,53679200
2025-04-03,AMZN,183.0,178.41000366210938,184.1300048828125,176.9199981689453,95553600
2025-04-04,AMZN,167.14999389648438,171.0,178.13999938964844,166.0,123159400
2025-04-07,AMZN,162.0,175.25999450683594,183.41000366210938,161.3800048828125,109327100
2025-04-08,AMZN,185.22999572753906,170.66000366210938,185.89999389648438,168.57000732421875,87710400
2025-04-09,AMZN,172.1199951171875,191.10000610351562,192.64999389648438,169.92999267578125,116804300
2025-04-10,AMZN,185.44000244140625,181.22000122070312,186.8699951171875,175.85000610351562,68302000
2025-04-11,AMZN,179.92999267578125,184.8699951171875,185.86000061035156,178.0,50594300
2025-04-14,AMZN,186.83999633789062,182.1199951171875,187.44000244140625,179.22999572753906,48002500
2025-04-15,AMZN,181.41000366210938,179.58999633789062,182.35000610351562,177.92999267578125,43642000
2025-04-16,AMZN,176.2899932861328,174.3300018310547,179.10000610351562,171.41000366210938,51875300
2025-04-17,AMZN,176.0,172.61000061035156,176.2100067138672,172.0,44726500
2025-04-21,AMZN,169.60000610351562,167.32000732421875,169.60000610351562,165.2899932861328,48126100
2025-04-22,AMZN,169.85000610351562,173.17999267578125,176.77999877929688,169.35000610351562,56607200
2025-04-23,AMZN,183.4499969482422,180.60000610351562,187.3800048828125,180.19000244140625,63470100
2025-04-24,AMZN,180.9199981689453,186.5399932861328,186.74000549316406,180.17999267578125,43763200
2025-04-25,AMZN,187.6199951171875,188.99000549316406,189.94000244140625,185.49000549316406,36414300
2025-04-28,AMZN,190.11000061035156,187.6999969482422,190.22000122070312,184.88999938964844,33224700
2025-04-29,AMZN,183.99000549316406,187.38999938964844,188.02000427246094,183.67999267578125,41667300
2025-04-30,AMZN,182.1699981689453,184.4199981689453,185.0500030517578,178.85000610351562,55176500
2025-05-01,AMZN,190.6300048828125,190.1999969482422,191.80999755859375,187.5,74266000
2025-05-02,AMZN,191.44000244140625,189.97999572753906,192.8800048828125,186.39999389648438,77903500
2025-05-05,AMZN,186.50999450683594,186.35000610351562,188.17999267578125,185.52999877929688,35217500
2025-05-06,AMZN,184.57000732421875,185.00999450683594,187.92999267578125,183.85000610351562,29314100
2025-05-07,AMZN,185.55999755859375,188.7100067138672,190.99000549316406,185.00999450683594,43948600
2025-05-08,AMZN,191.42999267578125,192.0800018310547,194.3300018310547,188.82000732421875,41043600
2025-05-09,AMZN,193.3800048828125,193.05999755859375,194.69000244140625,191.16000366210938,29663100
2025-05-12,AMZN,210.7100067138672,208.63999938964844,211.66000366210938,205.75,75205000
2025-05-13,AMZN,211.0800018310547,211.3699951171875,214.83999633789062,210.10000610351562,56193700
2025-05-14,AMZN,211.4499969482422,210.25,211.92999267578125,208.85000610351562,38492100
2025-05-15,AMZN,206.4499969482422,205.1699981689453,206.8800048828125,202.6699981689453,64347300
2025-05-16,AMZN,206.85000610351562,205.58999633789062,206.85000610351562,204.3699951171875,43318500
2025-05-19,AMZN,201.64999389648438,206.16000366210938,206.6199951171875,201.25999450683594,34314800
2025-05-20,AMZN,204.6300048828125,204.07000732421875,205.58999633789062,202.64999389648438,29470400
2025-05-21,AMZN,201.61000061035156,201.1199951171875,203.4600067138672,200.05999755859375,42460900
2025-05-22,AMZN,201.3800048828125,203.10000610351562,205.75999450683594,200.16000366210938,38938900
2025-05-23,AMZN,198.89999389648438,200.99000549316406,202.3699951171875,197.85000610351562,33393500
2025-05-27,AMZN,203.08999633789062,206.02000427246094,206.69000244140625,202.19000244140625,34892000
2025-05-28,AMZN,205.9199981689453,204.72000122070312,207.66000366210938,204.41000366210938,28549800
2025-05-29,AMZN,208.02999877929688,205.6999969482422,208.80999755859375,204.22999572753906,34650000
2025-05-30,AMZN,204.83999633789062,205.00999450683594,205.99000549316406,201.6999969482422,51679400
2025-06-02,AMZN,204.97999572753906,206.64999389648438,207.0,202.67999267578125,29113300
2025-06-03,AMZN,207.11000061035156,205.7100067138672,208.9499969482422,205.02999877929688,33139100
2025-06-04,AMZN,206.5500030517578,207.22999572753906,208.17999267578125,205.17999267578125,29915600
2025-06-05,AMZN,209.5500030517578,207.91000366210938,212.80999755859375,207.55999755859375,51864200
2025-06-06,AMZN,212.39999389648438,213.57000732421875,213.8699951171875,210.5,39832500
2025-06-09,AMZN,214.75,216.97999572753906,217.85000610351562,212.8800048828125,38102500
2025-06-10,AMZN,216.77999877929688,217.61000061035156,217.69000244140625,214.14999389648438,31303300
2025-06-11,AMZN,217.41000366210938,213.1999969482422,218.39999389648438,212.88999938964844,39326000
2025-06-12,AMZN,211.77999877929688,213.24000549316406,213.5800018310547,211.3300018310547,27640000
2025-06-13,AMZN,209.9600067138672,212.10000610351562,214.0500030517578,209.6199951171875,29337800
2025-06-16,AMZN,212.30999755859375,216.10000610351562,217.05999755859375,211.60000610351562,33284200
2025-06-17,AMZN,215.1999969482422,214.82000732421875,217.41000366210938,214.55999755859375,32086300
2025-06-18,AMZN,215.08999633789062,212.52000427246094,217.9600067138672,212.33999633789062,44360500
2025-06-20,AMZN,214.67999267578125,209.69000244140625,214.88999938964844,208.27000427246094,75350700
2025-06-23,AMZN,209.7899932861328,208.47000122070312,210.38999938964844,207.30999755859375,37311700
2025-06-24,AMZN,212.13999938964844,212.77000427246094,214.33999633789062,211.0500030517578,38378800
2025-06-25,AMZN,214.6199951171875,211.99000549316406,216.02999877929688,211.11000061035156,31755700
2025-06-26,AMZN,213.1199951171875,217.1199951171875,218.0399932861328,212.00999450683594,50480800
2025-06-27,AMZN,219.9199981689453,223.3000030517578,223.3000030517578,216.74000549316406,119217100
2025-06-30,AMZN,223.52000427246094,219.38999938964844,223.82000732421875,219.1199951171875,58887800
2025-07-01,AMZN,219.5,220.4600067138672,221.8800048828125,217.92999267578125,39256800
2025-07-02,AMZN,219.72999572753906,219.9199981689453,221.60000610351562,219.05999755859375,30894200
2025-07-03,AMZN,221.82000732421875,223.41000366210938,224.00999450683594,221.36000061035156,29632400
2025-07-07,AMZN,223.0,223.47000122070312,224.2899932861328,222.3699951171875,36604100
2025-07-08,AMZN,223.9199981689453,219.36000061035156,224.0,218.42999267578125,45692000
2025-07-09,AMZN,221.07000732421875,222.5399932861328,224.2899932861328,220.47000122070312,38155100
2025-07-10,AMZN,221.5500030517578,222.25999450683594,222.7899932861328,219.6999969482422,30370600
2025-07-11,AMZN,223.5800018310547,225.02000427246094,226.67999267578125,222.3699951171875,50518300
2025-07-14,AMZN,225.07000732421875,225.69000244140625,226.66000366210938,224.24000549316406,35702600
2025-07-15,AMZN,226.1999969482422,226.35000610351562,227.27000427246094,225.4600067138672,34907300
2025-07-16,AMZN,225.8800048828125,223.19000244140625,226.10000610351562,222.17999267578125,39535900
2025-07-17,AMZN,223.32000732421875,223.8800048828125,224.5,222.50999450683594,31855800
2025-07-18,AMZN,225.13999938964844,226.1300048828125,226.39999389648438,222.97999572753906,37833800
2025-07-21,AMZN,225.83999633789062,229.3000030517578,229.69000244140625,225.64999389648438,40297600
2025-07-22,AMZN,229.67999267578125,227.47000122070312,230.0,226.35000610351562,37483700
2025-07-23,AMZN,228.47000122070312,228.2899932861328,228.7899932861328,227.08999633789062,28294900
2025-07-24,AMZN,229.1699981689453,232.22999572753906,236.0,228.63999938964844,42902300
2025-07-25,AMZN,232.22000122070312,231.44000244140625,232.47999572753906,231.17999267578125,28712100
2025-07-28,AMZN,233.35000610351562,232.7899932861328,234.2899932861328,232.25,26300100
2025-07-29,AMZN,234.14999389648438,231.00999450683594,234.72000122070312,230.30999755859375,33716200
2025-07-30,AMZN,231.63999938964844,230.19000244140625,231.8000030517578,229.2899932861328,32993300
2025-07-31,AMZN,235.77000427246094,234.11000061035156,236.52999877929688,231.39999389648438,104357300
